id,company,slug,city,state,website,phone,email,description,amenities,events,claimed,contact_count,lat,lng
46,Pacific Workplaces - Sacramento Watt Ave Office Space,,Las Vegas,NV,https://pacificworkplaces.com/locations/las-vegas-office-space,,,"Pacific Workplaces - Sacramento Watt Ave Office Space is a premier coworking destination in Las Vegas, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant commu",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,36.1699,-115.1398
47,Execu-Suites Virtual Office & Office Space Solutions,,Orlando,FL,https://www.execusuitesinc.com,,,"Execu-Suites Virtual Office & Office Space Solutions is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant commun",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,28.5383,-81.3792
48,Carr Workplaces Las Olas - Coworking & Office Space,,Fort Lauderdale,FL,https://carrworkplaces.com/locations/fort-lauderdale/las-olas,,,"Carr Workplaces Las Olas - Coworking & Office Space is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant communi",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,26.1224,-80.1373
49,The Crexent Business Center,,Jacksonville,FL,https://thecrexent.com,,,"The Crexent Business Center - Fort Lauderdale is a premier coworking destination in Fort Lauderdale, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant communi",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,30.3322,-81.6557
50,Minds Cowork - Wynwood,,Miami,FL,https://mindscowork.com/home,,,"Minds Cowork - Wynwood is a premier coworking destination in Miami, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide t",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,25.7617,-80.1918
51,The Crexent Business Centers - Davie,,Davie,FL,https://thecrexent.com,,,"The Crexent Business Centers - Davie is a premier coworking destination in Davie, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,2,28.522550311380385,-80.53134023190098
54,Vault Coworking & Collaboration Space,,,IA,https://newbo.co/vault-coworking,,,"Vault Coworking & Collaboration Space is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepre",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
57,Roam Buckhead,,Atlanta,GA,https://meetatroam.com/locations/buckhead,,,"Roam Buckhead is a premier coworking destination in Atlanta, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the perf",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,33.749,-84.388
58,Serendipity Labs Private Offices & Coworking,,Atlanta,GA,https://serendipitylabs.com/us/ga/atlanta-buckhead,,,"Serendipity Labs Private Offices & Coworking is a premier coworking destination in Atlanta, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of ent",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,33.749,-84.388
59,Cornerstone Coworking,,Atlanta,GA,https://cancollab.com,,,"Cornerstone Coworking is a premier coworking destination in Atlanta, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,33.749,-84.388
60,Switchyards Downtown Club,,Atlanta,GA,https://switchyards.com,,,"Switchyards Downtown Club is a premier coworking destination in Atlanta, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we prov",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,33.749,-84.388
61,Thrive | Coworking,,Atlanta,GA,https://workatthrive.com/downtown-milton,,,"Thrive | Coworking is a premier coworking destination in Atlanta, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,33.749,-84.388
62,Wework Coworking & Office Space,,Atlanta,GA,https://www.wework.com/buildings/tower-place-100--atlanta--ga,,,"Wework Coworking & Office Space is a premier coworking destination in Atlanta, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, w",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,33.749,-84.388
63,200 Peachtree Special Events And Conference Center,,Atlanta,GA,https://www.southernexchangeatl.com,,,"200 Peachtree Special Events And Conference Center is a premier coworking destination in Atlanta, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,33.749,-84.388
64,Peachtree Offices At Midtown Atlanta,,Atlanta,GA,https://www.peachtreeoffices.com/locations/1100-peachtree-midtown,,,"Peachtree Offices At Midtown Atlanta is a premier coworking destination in Atlanta, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneu",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,33.749,-84.388
65,Centrl Office Downtown Los Angeles,,Los Angeles,CA,https://centrloffice.com/locations/california-los-angeles-downtown,,,"Centrl Office Downtown Los Angeles is a premier coworking destination in Los Angeles, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepren",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,34.0522,-118.2437
66,Neuehouse Hollywood,,Los Angeles,CA,https://www.neuehouse.com/houses/hollywood,,,"Neuehouse Hollywood is a premier coworking destination in Los Angeles, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provid",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,34.0522,-118.2437
67,Bizhaus Locations Marina Del Rey Map,,Los Angeles,CA,https://www.bizhaus.com/marina-del-rey-office-space,,,"Bizhaus Locations Marina Del Rey Map is a premier coworking destination in Los Angeles, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepr",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,34.0522,-118.2437
68,Epiphany Space,,Los Angeles,CA,https://epiphanyspace.com,,,"Epiphany Space is a premier coworking destination in Los Angeles, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,34.0522,-118.2437
69,Circle Hub Sfv Llc,,Los Angeles,CA,https://circlehub.net,,,"Circle Hub Sfv Llc is a premier coworking destination in Los Angeles, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,34.0522,-118.2437
70,Carr Workplaces Dtla - Coworking & Office Space,,Los Angeles,CA,https://carrworkplaces.com/locations/los-angeles/dtla,,,"Carr Workplaces Dtla - Coworking & Office Space is a premier coworking destination in Los Angeles, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,34.0522,-118.2437
71,Procolo.Co Coworking,,Los Angeles,CA,https://procolo.co/more,,,"Procolo.Co Coworking is a premier coworking destination in Los Angeles, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provi",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,34.0522,-118.2437
73,Regus Los Angeles Us Bank Tower,,Los Angeles,CA,https://regus.com/en-us/united-states/california/los-angeles/us-bank-tower-2146,,,"Regus Los Angeles Us Bank Tower is a premier coworking destination in Los Angeles, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneur",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,34.0522,-118.2437
74,Village Workspaces,,Los Angeles,CA,https://www.villageworkspaces.com,,,"Village Workspaces is a premier coworking destination in Los Angeles, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,34.0522,-118.2437
76,Creative Coworking,,,IL,https://www.creativecoworking.com,,,"Creative Coworking is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide t",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
80,Wework Office Space & Coworking,,,IL,https://www.wework.com/buildings/515-n-state--chicago--il,,,"Wework Office Space & Coworking is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs,",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
81,19Eighty Co-Working Space,,,IL,https://www.officespace.com/in,,,"19Eighty Co-Working Space is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we pr",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
84,Integrated Office Suites,,,IL,https://www.iosuites.com,,,"Integrated Office Suites is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we pro",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
86,Carr Workplaces Aon Center - Coworking & Office Space,,,IL,https://carrworkplaces.com/locations/chicago/aon-center,,,"Carr Workplaces Aon Center - Coworking & Office Space is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant commu",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
87,Lifeworking Coworking,,,IL,https://www.mylifeworking.com,,,"Lifeworking Coworking is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provid",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
88,Platform Coworking Wicker Park,,,IL,https://platformcoworking.com/locations/wicker-park,,,"Platform Coworking Wicker Park is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
91,25N Coworking Geneva,,,IL,https://25ncoworking.com,,,"25N Coworking Geneva is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
92,My Office Suite,,,IL,https://www.roberthalf.com/employers/officeteam,,,"My Office Suite is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
96,Eigerlab Coworking Space,,,IL,https://www.eigerlab.org,,,"Eigerlab Coworking Space is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we pro",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
97,Corporate Executive Offices Inc,,,IL,http://www.offices.org/offices/ceoi.htm,,,"Corporate Executive Offices Inc is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs,",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
103,Sunset Office Suites,,,IL,https://www.sunsetofficesuites.com,,,"Sunset Office Suites is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
104,Plaza Executive Suites,,,IL,http://plazaexecutivesuites.com,,,"Plaza Executive Suites is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provi",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
105,Nexcore Coworking,,,IL,https://www.thenexcore.com/9700-meeting,,,"Nexcore Coworking is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide th",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
106,American West Office Suites,,,IL,https://www.awosuites.com/contact-us,,,"American West Office Suites is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
110,Serendipity Labs Flexible Office Space & Coworking,,,IL,https://serendipitylabs.com/us/mo/st-louis-clayton,,,"Serendipity Labs Flexible Office Space & Coworking is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant communit",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
112,Executive Office Suites Inc,,,LA,https://canalhr.com,,,"Executive Office Suites Inc is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
114,Ridgelake Office Suites,,,LA,http://www.ridgelakerealty.com/executivesuites.htm,,,"Ridgelake Office Suites is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we prov",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
116,The Yard: Flatiron South,,,LA,https://theyard.com/new-york-city-coworking-office-space/flatiron-south,,,"The Yard: Flatiron South is a premier coworking destination in your area, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we pro",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,39.8283,-98.5795
117,25N Coworking Arlington Heights,,Chicago,IL,https://25ncoworking.com,,,"25N Coworking Arlington Heights is a premier coworking destination in Chicago, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, w",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,41.8781,-87.6298
118,Bat Haus Coworking Space,,New York,NY,https://bathaus.com/cowork.html,,,"Bat Haus Coworking Space is a premier coworking destination in New York, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we prov",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,40.7128,-74.006
119,The Yard: Flatiron South Coworking Office Space Nyc,,New York,NY,https://theyard.com/new-york-city-coworking-office-space/flatiron-south,,,"The Yard: Flatiron South Coworking Office Space Nyc is a premier coworking destination in New York, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant communit",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,40.7128,-74.006
121,Midtown - Virgo Business Centers,,New York,NY,https://www.virgobc.com,,,"Midtown - Virgo Business Centers is a premier coworking destination in New York, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs,",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,40.7128,-74.006
122,Neuehouse Madison Square,,New York,NY,https://www.neuehouse.com,,,"Neuehouse Madison Square is a premier coworking destination in New York, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we prov",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,40.7128,-74.006
125,Blender Workspace,,New York,NY,https://blenderworkspace.com,,,"Blender Workspace is a premier coworking destination in New York, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,40.7128,-74.006
127,Bond Collective 60 Broad,,New York,NY,https://www.bondcollective.com/locations/60-broad,,,"Bond Collective 60 Broad is a premier coworking destination in New York, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we prov",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,40.7128,-74.006
737,Axios HQ,,New York,NY,http://www.axioshq.com,,,"Axios HQ is a premier coworking destination in New York, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the perfect ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,40.7128,-74.006
867,CommonGround-AI,,Los Altos,CA,http://www.commonground-ai.com,,,"CommonGround-AI is a premier coworking destination in Los Altos, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,36.72154306652907,-118.72379356648763
935,Roami,,Miami,FL,http://www.roami.com,,,"Roami is a premier coworking destination in Miami, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the perfect ecosys",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,25.7617,-80.1918
1242,BLOC Coworking,,Salt Lake City,UT,http://www.hibloc.com,,,"BLOC Coworking is a premier coworking destination in Salt Lake City, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide ",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,40.7608,-111.891
1466,Crosschq,,Santa Monica,CA,http://www.crosschq.com,,,"Crosschq is a premier coworking destination in Santa Monica, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the perf",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,34.0195,-118.4912
2674,IntegrateHQ,,Austin,TX,http://www.integratehq.com,,,"IntegrateHQ is a premier coworking destination in Austin, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the perfect",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,30.2672,-97.7431
2680,AfterSchool HQ,,Fishers,IN,http://www.afterschoolhq.com,,,"AfterSchool HQ is a premier coworking destination in Fishers, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the per",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,40.465736328057886,-86.79287013834518
2753,SalonHQ,,San Francisco,CA,http://www.salonhq.co,,,"SalonHQ is a premier coworking destination in San Francisco, designed to elevate your productivity and foster meaningful connections. With state-of-the-art facilities, high-speed internet, and a vibrant community of entrepreneurs, we provide the perf",Coffee & Tea|Meeting Rooms|Printing|Wi-Fi,,,1,37.7749,-122.4194
